n,acc,bal_acc,mcc,capture,flips_per_oracle_flip,flip_precision,entry_lag_frac,missed_move_frac,exit_giveback_frac,ls_sharpe,lf_sharpe,bh_sharpe,tf,asset,clf,period
2821,0.6543778801843319,0.6571042058161947,0.32035844781431455,0.04000823520279006,8.625,0.5579710144927537,0.15,0.31671012766791284,0.290113360238226,0.06036164715067089,0.16152914344006727,0.19403789912013147,1D,XRPUSDT,"STOCK model (accurate, unchanged)",2019-2026
2821,0.6387805742644452,0.6419108356504488,0.2913917280149526,0.012617877611059388,2.875,0.6739130434782609,0.23397435897435898,0.3441746046463975,0.37890868273787087,0.018365986595770833,0.12811606616523244,0.19403789912013147,1D,XRPUSDT,"STOCK model (calm, unchanged)",2019-2026
2821,0.5576036866359447,0.5559138254336795,0.11274630338045169,-0.022866529597822406,7.4375,0.5714285714285714,0.22377622377622378,0.33889578166345546,0.39043872885321823,-0.08747264221462885,0.0693725851081936,0.19403789912013147,1D,XRPUSDT,EMA200,2019-2026
2821,0.6019142148174407,0.6002274025906089,0.20215889447157206,-0.03470952467542145,5.9375,0.5894736842105263,0.19464285714285715,0.337492642910838,0.3301159190573112,-0.10984357623788248,0.05809465480297359,0.19403789912013147,1D,XRPUSDT,EMA cross (stock-tuned),2019-2026
2821,0.6072314781992202,0.6056144447171777,0.21288510525573168,-0.013740459936049462,14.8125,0.5358649789029536,0.15,0.31150998884227155,0.2848934810961281,-0.0968593096426635,0.06942680290833453,0.19403789912013147,1D,XRPUSDT,Price vs EMA (stock-tuned),2019-2026
2821,0.6713931230060263,0.6678126496400592,0.34930313825094716,-0.022983806255710712,4.125,0.6060606060606061,0.08623704804791676,0.2405377195750807,0.22645064640865098,-0.07356343947196567,0.0926347107654468,0.19403789912013147,1D,XRPUSDT,SuperTrend (stock-tuned),2019-2026
2821,0.597660404112017,0.5978002156828818,0.19553405501476875,-0.08836738412848363,4.125,0.6212121212121212,0.06587301587301587,0.21456322183747806,0.2584949730204209,-0.23261749861526781,-0.027183950024152876,0.19403789912013147,1D,XRPUSDT,Online directional-change (stock-tuned),2019-2026
2821,0.5604395604395604,0.5587894295268255,0.11850077824351898,-0.10791715737338846,2.8125,0.6666666666666666,0.2979949874686717,0.47125194113816377,0.5182821113266984,-0.2745118268532537,-0.05165715451790112,0.19403789912013147,1D,XRPUSDT,EMA cross (stock calm-tuned),2019-2026
2821,0.6210563629918469,0.6201941648927822,0.24091567033184164,-0.059026468366052756,2.625,0.6904761904761905,0.24088103254769921,0.34063360603141524,0.4417071271459867,-0.1547780949883903,0.024819890424238832,0.19403789912013147,1D,XRPUSDT,SuperTrend (stock calm-tuned),2019-2026
2821,0.6472881956752925,0.6471047289276617,0.29417424376200185,0.05528026574349342,1.875,0.7666666666666667,0.22377622377622378,0.34451953882752606,0.35413689165893114,0.1263870279530797,0.2181724041334602,0.19403789912013147,1D,XRPUSDT,Online directional-change (stock calm-tuned),2019-2026
