,y_ret,y_ret,y_ret,y_orc,y_orc,y_orc
,2019-21,2022-23,2024-26,2019-21,2022-23,2024-26
h1_h24_dd_96,-0.01158666453682633,-0.028758059043094586,-0.016006210449701352,-0.030340071795554646,-0.02457372054284579,-0.0054911212742860815
h1_h24_di14,0.005572295225546919,0.008674242323035042,-0.031856682907914324,-0.006679850089313932,0.0031681678336910046,-0.02546523183632121
h1_h24_don_pos_96,-0.004103805050555853,-0.012146677924166793,-0.01878327310404887,-0.02515369971600656,-0.008673168836119127,-0.0029027974356065633
h1_h24_ema_dist_200,-0.016248277693852786,-0.019704410464131406,-0.005651064262580607,-0.03270890949083188,-0.009099200780161354,0.012689916324294948
h1_h24_ema_dist_50,0.0018140377503687022,-0.003654457088350882,-0.02773312229246322,-0.01230140767936877,-0.0007103626314604039,-0.016146491069817803
h1_h24_ema_slope_200,-0.024608585537893246,-0.0238224378722256,0.009036299665322267,-0.04030907929990496,-0.01572760191971173,0.025348214800500646
h1_h24_ema_slope_50,-0.00782782902706225,-0.018842062794407144,-0.020471600064837836,-0.017265055427943654,-0.016958360869167022,-0.02170131300863659
h1_h24_er_96,-0.006527512255357748,-0.029171531705805165,-0.011292911378726178,-0.04109042113085842,-0.015726364354151645,0.011476658898595393
h1_h24_mom_24,0.0009391264992080206,0.011140049002188235,-0.02945068985573579,-0.0027166072993996537,0.002694180224197318,-0.04097053154562302
h1_h24_mom_384,-0.006368428869939602,0.019524726867573894,0.01629353115236576,-0.02049179449250199,0.030131008690185368,0.02106508131056606
h1_h24_mom_96,-0.012697842205449728,-0.026889082451391877,-0.010903248567369406,-0.04360858661517808,-0.01234595402691463,0.012000833223290819
h1_h24_ru_96,-0.012973390306563914,-0.003848835997638078,-0.01477794622907469,-0.027407425901883165,-0.002652102995156169,-0.0017250325942816391
h1_h24_st_24_4.0,0.007158836575859806,-0.008119828251872296,-0.03008079305599254,-0.004021271845594976,-0.0047869035862174725,-0.027354243270203027
h1_h24_tstat_96,-0.01652316246853114,-0.037499098242173456,0.004338415477177948,-0.03446570593841447,-0.027917622686061738,0.018454593980333778
h1_h24_vol_ratio,-0.03110341345550649,-0.015701273682832362,-0.02539006010215139,-0.014454041322655153,-0.007471183285934546,-0.030530442098110844
h1_h4_adx14,-0.032759499921078516,-0.0017580937774702154,-0.007709507327631426,-0.018718144871595455,-0.015383558694021804,-0.007112155946666254
h1_h4_atr_roc_14,-0.009176646524823862,0.053054086766470165,0.023708725459347657,-0.02224528858881447,0.020409931216106236,0.00788803314046449
h1_h4_atrp_z_14,-0.0181588126318451,0.005837378997458953,-0.02202389465755117,0.00804968562252717,0.029399607444204445,0.0007659578689074298
h1_h4_bb_bwroc_20,-0.02213292402086764,0.0255778597746541,0.025117359700728814,-0.030448132946918782,0.0032708857751739817,-0.00047736751036719927
h1_h4_bb_bwz_20,-0.02354986944211357,0.0332421333319084,-0.011476300809519668,-0.017343859900035397,0.02291971417185823,-0.00592152698087367
h1_h4_bb_pctb_20,0.018184826028711187,-0.01517424633084763,-0.009333155347057365,0.045397889533265845,0.014783339397404616,0.030186675494865867
h1_h4_bb_pctb_50,0.03156661340637601,0.020189355784208662,-0.01078660399007092,0.04863035515209435,0.04282533742225003,0.02563587522233235
h1_h4_dc_1.0,0.03362131244409727,0.02637708439651698,0.003899329690971287,0.053921599747751126,0.036889972996319464,0.038673742865060645
h1_h4_dc_2.0,0.011826840186011878,0.0052281914879405145,-0.03246135949731588,-0.0027867450923130255,0.010736190624698327,-0.021389784211286567
h1_h4_dc_ov_1.0,0.025933297177848535,0.016632088150501323,-0.022507953761708166,0.01998203362822304,0.013505552956667888,0.0025630605580984067
h1_h4_dd_96,0.04537736856654606,0.03270041066719398,-0.01981146168050829,0.03689095191149083,0.016751068637861133,-0.013560027104555283
h1_h4_di14,0.029681056009972395,0.01629843775466311,-0.009498428317616492,0.0518755178028969,0.03192609753501685,0.021993313135107995
h1_h4_don_pos_96,0.03679998076954549,0.029061316860333086,-0.017804189669803683,0.0412430020014557,0.04135634710248781,0.0044570316544256805
h1_h4_ema_dist_200,0.012780944868215016,0.00641250010019534,-0.03364639847948864,0.010270305777252298,0.01159289538363295,-0.020550051363504185
h1_h4_ema_dist_50,0.025724213142610752,0.024998062890594697,-0.020768773579208644,0.035561395126612494,0.0319118655310765,0.00809075934291914
h1_h4_ema_slope_200,-0.0011256954378432438,-0.007115871204935509,-0.03065082588810386,-0.012036500771485548,-0.013749972154774914,-0.033947959501876235
h1_h4_ema_slope_50,0.02391027090872533,0.027628523869195676,-0.019004166785853926,0.014961660641910401,0.026445538452399497,0.0021112663072151427
h1_h4_er_96,0.024862011260044836,0.00654676182104319,-0.024483601425161483,0.010640064140844174,-0.0018040611951418706,-0.028131360379612502
h1_h4_mom_24,0.03379291063530365,0.02576388907443583,-0.012790538758100767,0.04162832730857702,0.04369070514010476,0.019272318326014726
h1_h4_mom_384,-0.019789172940697153,-0.02188065268563516,-0.013218659318376125,-0.026865496775225983,-0.021460624376576365,0.0013759963496884353
h1_h4_mom_96,0.025879364361345636,0.006188062596688471,-0.025477146244330673,0.009329061233432023,-0.005786547167336287,-0.03125501778348966
h1_h4_ru_96,0.013164287629004123,0.01520664281572881,-0.015347979061186012,0.027803154781465667,0.04594678715604961,0.01675931936072428
h1_h4_st_24_4.0,0.031096077804444677,0.03362220755659695,-0.00013825719652543755,0.04289021573401308,0.04624720619574818,0.027412054335581915
