variant,trades,win_rate,sharpe,cagr,max_dd,total,in_mkt,group,asset,start,end
ORIGINAL,57,0.2807017543859649,0.1413118687180759,0.026335402376258976,-0.49818220055871243,0.5045772019189478,0.9397773279352226,Stocks,BRK-B,2011-01-03,2026-09-21
HYBRID,34,0.29411764705882354,0.04856273715567074,0.007139680974903584,-0.5557346439774696,0.11829289448446834,0.527834008097166,Stocks,BRK-B,2011-01-03,2026-09-21
MODEL-FLIP,54,,0.18680787050079067,0.03606300877076296,-0.614442326634333,0.745009059243942,1.0,Stocks,BRK-B,2011-01-03,2026-09-21
BUY & HOLD,0,,0.6152656360474846,0.12360421656506437,-0.2956993612851109,5.243128801176521,1.0,Stocks,BRK-B,2011-01-03,2026-09-21
ORIGINAL,50,0.24,0.2201103287706712,0.08431074539991035,-0.625145858442686,2.5690026714672833,0.9324563622565141,Stocks,AVGO,2011-01-03,2026-09-22
HYBRID,36,0.2777777777777778,0.06276331939200605,0.017961987092013798,-0.5793828589650476,0.3228928931097812,0.536048570705793,Stocks,AVGO,2011-01-03,2026-09-22
MODEL-FLIP,49,,0.42328437864701884,0.17655392722797547,-0.5170920869232218,11.878846393311468,1.0,Stocks,AVGO,2011-01-03,2026-09-22
BUY & HOLD,0,,0.8084390662501025,0.36373785526126023,-0.4878889175941572,130.12950082610317,1.0,Stocks,AVGO,2011-01-03,2026-09-22
ORIGINAL,80,0.275,-0.06954347379748599,-0.036020041414513426,-0.8621496245388953,-0.438201107028108,0.8570705793068556,Stocks,TSLA,2011-01-03,2026-09-22
HYBRID,60,0.2833333333333333,0.20784044606124932,0.10242963619906531,-0.8910557445701636,3.630961655295981,0.6544396660763977,Stocks,TSLA,2011-01-03,2026-09-22
MODEL-FLIP,82,,0.3038101913870243,0.18712448645641766,-0.910084142774342,13.822872260437933,1.0,Stocks,TSLA,2011-01-03,2026-09-22
BUY & HOLD,0,,0.6046965958763534,0.40669516469441747,-0.736322174421912,212.50483704357626,1.0,Stocks,TSLA,2011-01-03,2026-09-22
ORIGINAL,64,0.328125,-0.09094949885220084,-0.02248683869801915,-0.6356953659677054,-0.3005216644808002,0.8724696356275303,Stocks,LLY,2011-01-03,2026-09-21
HYBRID,41,0.24390243902439024,-0.19798150487250535,-0.0384265359315028,-0.7406230723316176,-0.45978700177765275,0.47191295546558704,Stocks,LLY,2011-01-03,2026-09-21
